university_id,name,campus,city,province,type,delivery_mode,shift,fee_per_semester,merit_min,scholarships_offered,metrics,prospectus_url,xai_explanation,website,hec_category,market_value,affordability_rank,manual_check_required
U001_MOR,National University of Sciences and Technology (NUST),H-12 Main Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://nust.edu.pk/admissions/,NULL - Agent fetch real-time fee for demanded dept,https://nust.edu.pk/admissions/,W3,50,Standard,False
U001_EVE,National University of Sciences and Technology (NUST),H-12 Main Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://nust.edu.pk/admissions/,NULL - Agent fetch real-time fee for demanded dept,https://nust.edu.pk/admissions/,W3,50,Standard,False
U002_MOR,Quaid-i-Azam University (QAU),University Road Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://qau.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://qau.edu.pk/,W3,50,Standard,False
U002_EVE,Quaid-i-Azam University (QAU),University Road Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://qau.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://qau.edu.pk/,W3,50,Standard,False
U003_MOR,Pakistan Institute of Engineering and Applied Sciences (PIEAS),Nilore Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://pieas.edu.pk/admissions.php,NULL - Agent fetch real-time fee for demanded dept,https://pieas.edu.pk/admissions.php,W3,50,Standard,False
U004_MOR,COMSATS University Islamabad (CUI),Park Road Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://comsats.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://comsats.edu.pk/admissions,W3,50,Standard,False
U004_EVE,COMSATS University Islamabad (CUI),Park Road Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://comsats.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://comsats.edu.pk/admissions,W3,50,Standard,False
U005_MOR,International Islamic University (IIUI),Faisal Masjid Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://iiu.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://iiu.edu.pk/,W3,50,Standard,False
U005_EVE,International Islamic University (IIUI),Faisal Masjid Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Evening,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://iiu.edu.pk/,NULL - Agent fetch real-time fee for demanded dept,https://iiu.edu.pk/,W3,50,Standard,False
U006_MOR,Air University,Pakistan Avenue E-9 Campus,Islamabad,Islamabad Capital Territory,Public,On-campus,Morning,,,"[{""name"": ""HEC Ehsaas Undergraduate"", ""criteria"": ""Income < 500K PKR"", ""coverage"": ""100% Tuition""}, {""name"": ""University Merit Scholarship"", ""criteria"": ""High FSc Score / Test Top Positions"", ""coverage"": ""Varies Tuition Waiver""}]","{""affordability_score"": null, ""merit_probability"": null, ""market_value"": null}",https://au.edu.pk/admissions,NULL - Agent fetch real-time fee for demanded dept,https://au.edu.pk/admissions,W3,50,Standard,False
